old_path,new_path,impressions_90d,clicks_90d,impressions_prior_12m,clicks_prior_12m,reason
/services/flooring-repair,/flooring-services-near-me/flooring-repair,5164,10,23790,63,folder /services renamed to /flooring-services-near-me
/services/floor-refinishing,/flooring-services-near-me/floor-refinishing,3265,6,7089,2,folder /services renamed to /flooring-services-near-me
/seattle/laminate-flooring-installation-in-seattle-wa,/flooring-services-near-me/laminate-flooring-installation,3123,2,438,0,city laminate page deleted (DECISION: confirm target)
/city-of-lynnwood/laminate-flooring-installation-in-lynnwood-wa,/flooring-services-near-me/laminate-flooring-installation,2570,0,0,0,city laminate page deleted (DECISION: confirm target)
/services/hardwood-floor-staining,/flooring-services-near-me/hardwood-floor-staining,2225,2,1433,4,folder /services renamed to /flooring-services-near-me
/services/hardwood-floor-installation,/flooring-services-near-me/hardwood-floor-installation,2184,2,8288,0,folder /services renamed to /flooring-services-near-me
/services/vinyl-plank-flooring-and-laminate-flooring,/flooring-services-near-me/vinyl-plank-flooring-and-laminate-flooring,1992,1,6365,7,folder /services renamed to /flooring-services-near-me
/city-of-mercer-island/laminate-flooring-installation-in-mercer-island-wa,/flooring-services-near-me/laminate-flooring-installation,1741,1,0,0,city laminate page deleted (DECISION: confirm target)
/services/wood-wall-panels,/flooring-services-near-me/wood-wall-panels,1558,21,0,0,folder /services renamed to /flooring-services-near-me
/services/our-products,/flooring-services-near-me/our-products,1474,4,5067,27,folder /services renamed to /flooring-services-near-me
/services/laminate-flooring-installation,/flooring-services-near-me/laminate-flooring-installation,1461,2,4365,4,folder /services renamed to /flooring-services-near-me
/hardwood-floor-refinishing/laminate-flooring-installation-in-bothell-wa,/flooring-services-near-me/laminate-flooring-installation,1456,1,110,0,city laminate page deleted (DECISION: confirm target)
/city-of-redmond/laminate-flooring-installation-in-redmond-wa,/flooring-services-near-me/laminate-flooring-installation,1311,0,0,0,city laminate page deleted (DECISION: confirm target)
/services/buff-and-recoat-hardwood-floors,/flooring-services-near-me/buff-and-recoat-hardwood-floors,1282,1,24,0,folder /services renamed to /flooring-services-near-me
/city-of-sammamish/laminate-flooring-installation-in-sammamish-wa,/flooring-services-near-me/laminate-flooring-installation,1126,0,0,0,city laminate page deleted (DECISION: confirm target)
